datahora,satelite,pais,estado,municipio,bioma,diasemchuva,precipitacao,riscofogo,latitude,longitude,frp,areaprotegida
1999/09/29 21:00:00,NOAA-12,Brasil,MINAS GERAIS,ITACARAMBI,Cerrado,,,,-15.1281,-44.2150,,APA CAVERNAS DO PERUACU
1999/08/09 21:00:00,NOAA-12,Brasil,MINAS GERAIS,JANUARIA,Cerrado,,,,-15.2381,-44.2331,,APA CAVERNAS DO PERUACU
1999/09/15 21:00:00,NOAA-12,Brasil,MINAS GERAIS,MIRAVANIA,Cerrado,,,,-14.8781,-44.5050,,APA CAVERNAS DO PERUACU
1999/09/10 21:00:00,NOAA-12,Brasil,MINAS GERAIS,JANUARIA,Cerrado,,,,-15.2050,-44.2731,,APA CAVERNAS DO PERUACU
1999/10/11 21:00:00,NOAA-12,Brasil,MINAS GERAIS,ITACARAMBI,Cerrado,,,,-15.0517,-44.2767,,APA CAVERNAS DO PERUACU
1999/09/30 21:00:00,NOAA-12,Brasil,MINAS GERAIS,MIRAVANIA,Cerrado,,,,-14.8881,-44.4850,,APA CAVERNAS DO PERUACU
1999/09/10 21:00:00,NOAA-12,Brasil,MINAS GERAIS,JANUARIA,Cerrado,,,,-15.2050,-44.2667,,APA CAVERNAS DO PERUACU
1999/09/15 21:00:00,NOAA-12,Brasil,MINAS GERAIS,MIRAVANIA,Cerrado,,,,-14.8781,-44.4967,,APA CAVERNAS DO PERUACU
1999/10/17 21:00:00,NOAA-12,Brasil,MINAS GERAIS,JANUARIA,Cerrado,,,,-15.0881,-44.4317,,APA CAVERNAS DO PERUACU
1999/10/16 21:00:00,NOAA-12,Brasil,MINAS GERAIS,ITACARAMBI,Cerrado,,,,-15.2131,-44.1000,,APA CAVERNAS DO PERUACU
1999/09/29 21:00:00,NOAA-12,Brasil,MINAS GERAIS,ITACARAMBI,Cerrado,,,,-15.0000,-44.3131,,APA CAVERNAS DO PERUACU
1999/10/17 21:00:00,NOAA-12,Brasil,MINAS GERAIS,JANUARIA,Cerrado,,,,-15.0981,-44.4400,,APA CAVERNAS DO PERUACU
1999/10/11 21:00:00,NOAA-12,Brasil,MINAS GERAIS,ITACARAMBI,Cerrado,,,,-15.0500,-44.2681,,APA CAVERNAS DO PERUACU
1999/08/09 21:00:00,NOAA-12,Brasil,MINAS GERAIS,JANUARIA,Cerrado,,,,-15.2367,-44.2231,,APA CAVERNAS DO PERUACU
1999/11/04 21:00:00,NOAA-12,Brasil,MINAS GERAIS,JANUARIA,Cerrado,,,,-15.2181,-44.1900,,APA CAVERNAS DO PERUACU
1999/09/19 21:00:00,NOAA-12,Brasil,MINAS GERAIS,JANUARIA,Cerrado,,,,-15.1117,-44.2717,,APA CAVERNAS DO PERUACU
1999/09/19 21:00:00,NOAA-12,Brasil,MINAS GERAIS,JANUARIA,Cerrado,,,,-15.1100,-44.2650,,APA CAVERNAS DO PERUACU
1999/10/17 21:00:00,NOAA-12,Brasil,MINAS GERAIS,JANUARIA,Cerrado,,,,-15.0900,-44.4417,,APA CAVERNAS DO PERUACU
1999/10/29 21:00:00,NOAA-12,Brasil,MINAS GERAIS,JANUARIA,Cerrado,,,,-15.1900,-44.1750,,APA CAVERNAS DO PERUACU
1999/09/29 21:00:00,NOAA-12,Brasil,MINAS GERAIS,ITACARAMBI,Caatinga,,,,-15.1317,-44.0817,,APA CAVERNAS DO PERUACU
1999/10/16 21:00:00,NOAA-12,Brasil,MINAS GERAIS,ITACARAMBI,Cerrado,,,,-15.2117,-44.0931,,APA CAVERNAS DO PERUACU
2000/09/14 21:00:00,NOAA-12,Brasil,MINAS GERAIS,JANUARIA,Caatinga,,,,-15.2750,-44.1717,,APA CAVERNAS DO PERUACU
2000/09/24 21:00:00,NOAA-12,Brasil,MINAS GERAIS,JANUARIA,Cerrado,,,,-15.1767,-44.1750,,APA CAVERNAS DO PERUACU
2000/09/19 21:00:00,NOAA-12,Brasil,MINAS GERAIS,ITACARAMBI,Cerrado,,,,-15.0681,-44.2467,,APA CAVERNAS DO PERUACU
2000/10/11 21:00:00,NOAA-12,Brasil,MINAS GERAIS,JANUARIA,Cerrado,,,,-15.2081,-44.1800,,APA CAVERNAS DO PERUACU
2000/10/04 21:00:00,NOAA-12,Brasil,MINAS GERAIS,ITACARAMBI,Cerrado,,,,-15.0400,-44.2317,,APA CAVERNAS DO PERUACU
2000/10/06 21:00:00,NOAA-12,Brasil,MINAS GERAIS,JANUARIA,Cerrado,,,,-15.2067,-44.2381,,APA CAVERNAS DO PERUACU
2000/10/22 21:00:00,NOAA-12,Brasil,MINAS GERAIS,JANUARIA,Cerrado,,,,-15.0517,-44.3467,,APA CAVERNAS DO PERUACU
